"lb" "mle" "ub" "ce" "Z" "cZ"
"Dnajc8" -7.35835171767821 -3.79066603637969 -1.24868998845449 -1.24868998845449 -2.93054003144207 -1.5652863921128
"Itpripl1" -8.96381027426257 -6.02046958719127 -2.05141926674665 -2.05141926674665 -2.9241740595166 -1.55715529384883
"Prim1" -8.60704170613269 -5.6637010190614 -1.78384284064926 -1.78384284064926 -2.91618633620603 -1.54956533110139
"Sall3" -5.39612459296402 -3.07712890011998 -0.981113562357094 -0.981113562357094 -2.91551047566162 -1.54956533110139
"Nop10" -6.37723815532111 -3.47849353926606 -1.15949784642202 -1.15949784642202 -2.91055463007225 -1.54579275516347
"Cdca7" -7.31375564666197 -3.656877823331 -1.20409391743825 -1.20409391743825 -2.89872469859724 -1.532955555594
"Slc25a5" -4.86097174076924 -2.76495640300636 -0.891921420324632 -0.891921420324632 -2.89232428204748 -1.52975591430572
"Dhfr" -8.51784956410024 -5.61910494804519 -1.73924676963303 -1.73924676963303 -2.8922976159888 -1.52975591430572
"4930422G04Rik" -8.42865742206776 -5.61910494804519 -1.78384284064926 -1.78384284064926 -2.8916049580757 -1.52975591430572
"Elof1" -8.69623384816518 -5.75289316109389 -1.8284389116655 -1.8284389116655 -2.88509617364254 -1.52333273988385
"Cdc6" -8.83002206121387 -5.84208530312634 -1.87303498268173 -1.87303498268173 -2.88293251992067 -1.52212230727152
"Plekha3" -8.60704170613269 -5.70829709007764 -1.78384284064926 -1.78384284064926 -2.88181987876473 -1.52212230727152
"Rps24" -5.97587351617503 -3.25551318418491 -1.02570963337333 -1.02570963337333 -2.87669828892223 -1.5158562680813
"Kif15" -8.473253493084 -5.70829709007764 -1.8284389116655 -1.8284389116655 -2.87438052028915 -1.51532861827105
"Akr1a1" -6.42183422633736 -3.43389746824982 -1.11490177540579 -1.11490177540579 -2.87268729550117 -1.51532861827105
"Scg5" -5.93127744515879 -3.21091711316867 -1.02570963337333 -1.02570963337333 -2.8726212885465 -1.51532861827105
"Dimt1" -8.11648492495416 -4.37041495959071 -1.38247820150318 -1.38247820150318 -2.8661651225442 -1.50781060782213
"Cyb5r3" -8.20567706698661 -5.39612459296402 -1.56086248556811 -1.56086248556811 -2.8655072866376 -1.50781060782213
"Fkbp3" -7.31375564666197 -3.70147389434721 -1.20409391743825 -1.20409391743825 -2.86384108987107 -1.50711006553963
"Mcm7" -8.42865742206776 -5.52991280601271 -1.65005462760057 -1.65005462760057 -2.85638544338174 -1.49763078475053
"Trim28" -8.473253493084 -4.37041495959071 -1.38247820150318 -1.38247820150318 -2.85412677748932 -1.49763078475053
"Tbrg1" -7.00158314954837 -3.8352621073959 -1.24868998845449 -1.24868998845449 -2.85313833417353 -1.49763078475053
"Nhp2" -7.58133207275939 -3.8352621073959 -1.24868998845449 -1.24868998845449 -2.85233200942924 -1.49763078475053
"Smarcc1" -6.6448145814185 -3.61228175231476 -1.15949784642202 -1.15949784642202 -2.85068476487533 -1.49763078475053
"Sncaip" -8.69623384816518 -3.8352621073959 -1.20409391743825 -1.20409391743825 -2.85067781280176 -1.49763078475053
"Yy1" -8.38406135105155 -5.4853167349965 -1.65005462760057 -1.65005462760057 -2.84603610367751 -1.49732375419564
"Rps21" -5.88668137414258 -3.16632104215245 -0.981113562357094 -0.981113562357094 -2.84596263390135 -1.49732375419564
"Srsf7" -5.35152852194781 -2.85414854503882 -0.891921420324632 -0.891921420324632 -2.84572011631902 -1.49732375419564
"Rfc4" -8.473253493084 -5.6637010190614 -1.78384284064926 -1.78384284064926 -2.84568501468232 -1.49732375419564
"Elavl4" -8.69623384816518 -5.75289316109389 -1.78384284064926 -1.78384284064926 -2.84164808453534 -1.49363134728167
"Srsf3" -4.90556781178548 -2.76495640300636 -0.847325349308403 -0.847325349308403 -2.84103003083633 -1.49363134728167
"Tpt1" -7.35835171767821 -3.79066603637969 -1.20409391743825 -1.20409391743825 -2.83767649724511 -1.49318628007705
"Rpl13" -7.13537136259706 -3.656877823331 -1.11490177540579 -1.11490177540579 -2.83482461392328 -1.49120903821933
"Etv5" -8.33946528003531 -4.14743460450953 -1.29328605947072 -1.29328605947072 -2.83229897755415 -1.48900932525922
"Ube2c" -8.38406135105155 -5.52991280601271 -1.6946506986168 -1.6946506986168 -2.82753316316454 -1.48316949863691
"Tshz1" -7.09077529158082 -3.79066603637969 -1.20409391743825 -1.20409391743825 -2.82292186356552 -1.4821610374533
"Srcin1" -8.473253493084 -5.52991280601271 -1.60545855658434 -1.60545855658434 -2.82228432089454 -1.4821610374533
"Cxcr7" -9.00840634527877 -5.75289316109389 -1.73924676963303 -1.73924676963303 -2.82037044878861 -1.48091881790217
"Ubb" -4.77177959873679 -2.72036033199013 -0.802729278292171 -0.802729278292171 -2.80934723951033 -1.46502905493661
"Fem1c" -8.91921420324632 -5.88668137414258 -1.78384284064926 -1.78384284064926 -2.80469745306114 -1.46102522812258
"Pitpna" -8.74082991918139 -5.70829709007764 -1.6946506986168 -1.6946506986168 -2.8026268380282 -1.46062157064635
"Efna5" -8.60704170613269 -5.75289316109389 -1.8284389116655 -1.8284389116655 -2.80104836780373 -1.46062157064635
"Sfr1" -7.13537136259706 -3.70147389434721 -1.11490177540579 -1.11490177540579 -2.79263614019594 -1.45059173496994
"Fam96b" -8.11648492495416 -5.26233637991532 -1.42707427251941 -1.42707427251941 -2.78415814787871 -1.43858828399936
"Rpl13a" -5.70829709007764 -3.12172497113621 -0.936517491340864 -0.936517491340864 -2.7809169264222 -1.43512200940676
"Eef1d" -7.58133207275939 -3.92445424942839 -1.15949784642202 -1.15949784642202 -2.77609169023571 -1.43293518067076
"Nelfa" -8.65163777714894 -5.6637010190614 -1.65005462760057 -1.65005462760057 -2.77301465662924 -1.43293518067076
"Rps8" -6.55562243938605 -3.43389746824982 -1.02570963337333 -1.02570963337333 -2.77184550741745 -1.43293518067076
"Fopnl" -5.70829709007764 -3.07712890011998 -0.936517491340864 -0.936517491340864 -2.77120474260133 -1.43293518067076
"Smc2" -8.11648492495416 -3.56768568129852 -1.11490177540579 -1.11490177540579 -2.77000308641571 -1.43293518067076
"Eif3h" -7.6259281437756 -3.87985817841215 -1.15949784642202 -1.15949784642202 -2.76880122824757 -1.43293518067076
"Baz1a" -8.33946528003531 -4.59339531467185 -1.33788213048695 -1.33788213048695 -2.76850815010774 -1.43293518067076
"Thoc7" -6.28804601328866 -3.21091711316867 -0.936517491340864 -0.936517491340864 -2.7674667810427 -1.43293518067076
"Cdkn2aipnl" -8.65163777714894 -5.70829709007764 -1.6946506986168 -1.6946506986168 -2.76537705517288 -1.43129137078144
"Adsl" -8.16108099597037 -4.19203067552577 -1.24868998845449 -1.24868998845449 -2.7610964118775 -1.42950525143125
"Slc12a2" -8.56244563511645 -5.70829709007764 -1.73924676963303 -1.73924676963303 -2.76043197351522 -1.42950525143125
"Eif5a" -6.37723815532111 -3.16632104215245 -0.936517491340864 -0.936517491340864 -2.75882077065809 -1.42934383096745
"Canx" -4.90556781178548 -2.76495640300636 -0.802729278292171 -0.802729278292171 -2.75286353266584 -1.42466764966967
"Spc25" -8.16108099597037 -5.30693245093156 -1.47167034353564 -1.47167034353564 -2.75276900453624 -1.42466764966967
"Cdc7" -8.51784956410024 -4.68258745670431 -1.42707427251941 -1.42707427251941 -2.75015128603737 -1.42212113956369
"Serbp1" -5.30693245093156 -2.85414854503882 -0.847325349308403 -0.847325349308403 -2.7485579748717 -1.42123924230435
"Snw1" -8.33946528003531 -4.10283853349332 -1.24868998845449 -1.24868998845449 -2.74405373395421 -1.4162516339096
"Map3k1" -5.84208530312634 -3.16632104215245 -0.936517491340864 -0.936517491340864 -2.74340196216688 -1.4162516339096
"Ckb" -4.72718352772055 -2.63116818995766 -0.758133207275939 -0.758133207275939 -2.73921416677744 -1.41252296064691
