"lb" "mle" "ub" "ce" "Z" "cZ"
"Pcdh7" -6.08875841975322 -3.29243973808878 -1.44326125505262 -1.44326125505262 -3.67636554565092 -2.62154493381541
"Ptprz1" -3.78856079451311 -2.57080911056247 -1.26285359817104 -1.26285359817104 -3.67564752343078 -2.62154493381541
"Cnn3" -3.1571339954276 -1.93938231147695 -0.902038284407886 -0.902038284407886 -3.67491634745844 -2.62154493381541
"Sema3a" -6.04365650553283 -3.29243973808878 -1.44326125505262 -1.44326125505262 -3.64753071275047 -2.58868369178031
"Ncan" -3.24733782386839 -2.11978996835853 -0.992242112848671 -0.992242112848671 -3.64699625788612 -2.58868369178031
"Fam65a" -6.08875841975322 -3.33754165230918 -1.44326125505262 -1.44326125505262 -3.64176630179023 -2.58316410351233
"Hmga2" -6.04365650553283 -3.29243973808878 -1.39815934083222 -1.39815934083222 -3.63963911631189 -2.58179711779873
"Actg1" -3.24733782386839 -2.11978996835853 -0.992242112848671 -0.992242112848671 -3.63105165706316 -2.574707169231
"Me1" -6.13386033397364 -3.1120320812072 -1.35305742661183 -1.35305742661183 -3.62496142311873 -2.57091667682739
"Tm9sf3" -3.56305122341115 -2.02958613991774 -0.902038284407886 -0.902038284407886 -3.61662513614183 -2.56118784703469
"Nexn" -6.04365650553283 -3.29243973808878 -1.39815934083222 -1.39815934083222 -3.60850809936743 -2.55318264420206
"Tmem64" -6.04365650553283 -3.24733782386839 -1.39815934083222 -1.39815934083222 -3.59973468787238 -2.54421711525223
"Rassf3" -5.95345267709206 -3.20223590964799 -1.35305742661183 -1.35305742661183 -3.59535746714789 -2.53982266637274
"Pls3" -5.81814693443087 -2.79631868166444 -1.21775168395065 -1.21775168395065 -3.57243121532034 -2.51499888901633
"Cyr61" -6.04365650553283 -3.29243973808878 -1.39815934083222 -1.39815934083222 -3.5665023219607 -2.51160412351343
"Fam49a" -5.86324884865125 -2.84142059588484 -1.21775168395065 -1.21775168395065 -3.56619105277785 -2.51160412351343
"H2-K1" -5.59263736332887 -2.57080911056247 -1.08244594128946 -1.08244594128946 -3.56573687865055 -2.51160412351343
"Rragd" -6.04365650553283 -3.29243973808878 -1.39815934083222 -1.39815934083222 -3.56494470990619 -2.51160412351343
"Ifngr2" -5.99855459131245 -3.24733782386839 -1.35305742661183 -1.35305742661183 -3.55629384198692 -2.5027309923302
"Adm" -5.99855459131245 -3.24733782386839 -1.35305742661183 -1.35305742661183 -3.53592752717625 -2.48065586429323
"Gng12" -3.83366270873353 -2.25509571101971 -0.992242112848671 -0.992242112848671 -3.53380709010034 -2.48065586429323
"Frmd4a" -4.41998759359864 -2.25509571101971 -0.992242112848671 -0.992242112848671 -3.53223630182611 -2.48063594410427
"Dhcr24" -5.00631247846376 -2.43550336790129 -1.03734402706907 -1.03734402706907 -3.52624979775159 -2.47452558369994
"Acaa2" -5.95345267709206 -3.20223590964799 -1.30795551239144 -1.30795551239144 -3.50428236089509 -2.44754374528684
"Gap43" -4.51019142203941 -2.3452995394605 -0.992242112848671 -0.992242112848671 -3.50034478275555 -2.44356219330291
"Dock10" -6.04365650553283 -3.24733782386839 -1.35305742661183 -1.35305742661183 -3.48822160602525 -2.42848232680199
"Fam63b" -4.73570099314141 -2.48060528212169 -1.03734402706907 -1.03734402706907 -3.48485289494608 -2.42525908946637
"Adamts1" -6.13386033397364 -3.33754165230918 -1.39815934083222 -1.39815934083222 -3.4804642963036 -2.42198610080204
"Sc5d" -3.1120320812072 -1.98448422569735 -0.902038284407886 -0.902038284407886 -3.47262426923188 -2.4140129912334
"Limch1" -5.99855459131245 -3.20223590964799 -1.30795551239144 -1.30795551239144 -3.4647181744325 -2.40593076706311
"Bag3" -5.95345267709206 -3.20223590964799 -1.30795551239144 -1.30795551239144 -3.45200257982945 -2.38996540408338
"Gareml" -5.90835076287164 -3.1571339954276 -1.26285359817104 -1.26285359817104 -3.45000721055832 -2.38857323866197
"Tmem47" -3.9238665371743 -2.11978996835853 -0.902038284407886 -0.902038284407886 -3.43322951860913 -2.36967012832789
"Ppic" -4.32978376515784 -2.30019762524011 -0.947140198628279 -0.947140198628279 -3.42721914462513 -2.36278458380326
